budget,description,finishDays,project_tags,publishedDate,title
1000000,kami sedang membutuhkan freelance content writer yang sudah berpengalaman untuk skala nasional ya. membuat konten 3 - 4 perharinya,30,Content Writer,08/05/2023 13:58:20 WIB,Freelance Content Writer
100000,"saya membutuhkan jasa survey untuk menyebarkan kuesioner penelitian tentang perilaku kerja inovatif. adapun kriteria responden yang dibutuhkan adalah sebagai berikut : jumlah responden 30 orang karyawan divisi marketing perusahaan transportasi online (10 orang dari gojek, 10 orang dari grab, 10 orang dari maxim) karyawan tetap dengan masa kerja minimum 2 tahun.",7,"Data Entry,Statistical Analysis,Affiliate Marketing,Social Media Marketing (SMM),Responden,Social Media",08/05/2023 13:56:43 WIB,Pra Survey Penelitian
350000,"saya punya desain rumah tinggal, sedang mencari engineer sipil untuk konsultasi agar desain saya aman secara struktur.",30,"Architecture,Civil and Structure Analysis,Civil and Structure Design",05/05/2023 19:58:57 WIB,Konsultasi Desain Struktur Rumah Tinggal
500000,"halo tolong dibantu untuk menggabungkan isi konten 5 file power point ke dalam 1 file yang sudah ada templatenya, copy paste isinya dan menggunakan template file ppt yang tujuan , sperti font, transisi, dan slide theme nya butuh asap",5,Microsoft PowerPoint,13/05/2023 10:52:28 WIB,Menggabungkan Isi 5 File Power Point Ke 1 File
3000000,"buatlah project skripsi terkait nlp/machine learning/deep learning yang juga dapat di- deployment  kan di website project unik dan memiliki metode ai yang menarik  project dapat terkejar sebulan atau bahkan kurang dari sebulan skripsi tidak masalah kalau sudah ada asalkan punya nilai keunikan dan dapat memiliki sistem engineering yang menarik attach contoh skripsi referensi yang akan digunakan, berikan ciri unik, dan hal lainnya yang dapat dishare mungkin project yg pernah dikerjakan dan cv dataset diusahakan menarik dan real data yang mungkin dapat dilakukan scraping di internet ataupun data real yang sudah ada...",25,"Python,Database Programming,Web Programming,Flask Python,Data Analysis,Data Mining,Web Scrapping,Machine Learning,Data Science",16/05/2023 15:56:44 WIB,Skripsi Terkait Nlp/Machine Learning/Deep Learning/Ai
1000000,"yang punya akun canva contributor atau akun canva creator grafik elemen yang tidak terawat atau mau dijual, saya siap nampung",10,"Graphic Design,Canva,Grafis Vektor",10/05/2023 17:36:15 WIB,Dicari Akun Canva Contributor
1500000,pembuatan aplikasi android untuk penjualan (dengan crm)  suatu produk.,10,"MySQL,Mobile Programming,Android,Android studio",10/05/2023 17:35:23 WIB,Pembuatan Aplikasi Android - Crm
1000000,"yang punya akun canva creator element atau creator template yang tidak terawat atau mau dijual, saya siap nampung",3,"Design Arts,Graphic Design,Logo Design,Canva",28/04/2023 07:30:16 WIB,Cari Canva Contributor / Creator
100000,"mohon dibaca dgn baik ya, saya perlu org buat bantu export project unity saya. usahakan yg paham betul aplikasi unity & sudah terinstall aplikasi unity di macbook nya. hanya export saja ke format ipa, tidak ada tugas tugas tambahan hanya bantu export saja.",1,"MacOS,Unity 3D,Unity",17/05/2023 19:26:47 WIB,Butuh Bantuan Untuk Export Project Unity 2021 Menggunakan Macbook
1500000,helo kak... mau cari yang bisa buatin web seperti : kirimpesan.net yang paling penting adalah ya g pernah membuat web seperti ini mohon tinggalkan nomer wa . kakak dan kirimkan contoh demo yang sudah pernah dikerjakan mengenai hal ini. terima kasih,7,"Internet Marketing,Affiliate Marketing,Programming,JavaScript,jQuery,HTML,Laravel Framework,JSON,API Gateway",20/05/2023 11:33:10 WIB,Whatsaap
1500000,"saat ini saya sedang membutuhkan customer service online shop yang menjual produk produk fashion. adapun kriteria nya adalah sebagai berikut :  wanita usia 17-35 tahun aktif menggunakan smartphone bisa mengetik cepat, mengetik 10 jari menjadi nilai plus sabar dan senang berinteraksi dengan orang melalui chat adapun tugas nya adalah :  menjawab pertanyaan customer dan calon customer menjawab dan menangani komplain, saran dan masukan dari customer bagi yang berminat, silakan apply dan kirimkan cv nya ya...",30,Customer Service,20/05/2023 10:18:08 WIB,Customer Service Onlineshop
